DISPCNT write val=0x1040 at scanline=23 cyc=101150991 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=101155925 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=101160857 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=101167013 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=101170713 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=101178101 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=101180569 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=101190421 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=101200274 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=101201519 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=101210130 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=101212607 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=101219986 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=101223695 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=101229842 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=101234777 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=101239705 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=101245865 PC=0x800af7a
